Shimmer2	Shimmer2	Shimmer2	Shimmer2	Annotation	Annotation
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Pulse	Level
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	Boolean	Boolean
765751,984	8,911	1,685	0,533	0,000	0,000
765849,640	8,538	1,915	0,021	0,000	0,000
765947,296	8,759	1,645	0,210	0,000	0,000
766044,952	8,986	1,914	0,346	0,000	0,000
766142,609	8,801	2,182	0,117	0,000	0,000
766240,265	8,801	1,992	0,348	0,000	0,000
766337,921	8,724	1,647	0,370	0,000	0,000
766435,577	8,910	1,989	0,109	0,000	0,000
766533,234	8,835	1,875	0,142	0,000	0,000
766630,890	8,611	1,913	-0,058	0,000	0,000
766728,546	8,761	1,989	-0,013	0,000	0,000
766826,202	8,910	1,608	0,490	0,000	0,000
766923,859	8,676	0,914	0,052	0,000	0,000
767021,515	8,810	2,040	1,230	0,000	0,000
767119,171	8,622	1,962	0,944	0,000	0,000
767216,827	9,054	2,212	-0,519	0,000	0,000
767314,484	8,901	1,752	-0,543	0,000	0,000
767412,140	8,726	2,259	0,000	0,000	0,000
767509,796	8,880	2,072	0,712	0,000	0,000
767607,452	8,984	1,493	0,564	0,000	0,000
767705,109	9,038	3,033	0,802	0,000	0,000
767802,765	6,058	3,463	2,314	0,000	0,000
767900,421	9,599	1,168	-0,486	0,000	0,000
767998,077	7,986	3,257	-0,957	0,000	0,000
768095,734	8,220	3,800	-0,288	0,000	0,000
768193,390	6,810	1,640	1,550	0,000	0,000
768291,046	9,661	1,268	1,880	0,000	0,000
768388,702	8,465	0,508	1,550	0,000	0,000
768486,359	9,084	0,491	0,475	0,000	0,000
768584,015	9,020	1,416	0,601	0,000	0,000
768681,671	8,682	1,224	0,308	0,000	0,000
768779,327	10,093	0,985	0,870	0,000	0,000
768876,984	8,508	1,884	0,739	0,000	0,000
768974,640	8,511	2,115	0,791	0,000	0,000
769072,296	8,734	2,457	0,570	0,000	0,000
769169,952	8,883	2,227	0,840	0,000	0,000
769267,609	8,692	2,033	0,469	0,000	0,000
769365,265	8,988	2,183	0,359	0,000	0,000
769462,921	8,842	2,034	0,670	0,000	0,000
769560,577	8,769	2,074	0,751	0,000	0,000
769658,234	8,916	1,919	0,785	0,000	0,000
769755,890	8,915	1,841	0,741	0,000	0,000
769853,546	8,915	1,879	0,703	0,000	0,000
769951,202	8,653	1,880	0,461	0,000	0,000
770048,859	8,804	2,147	0,475	0,000	0,000
770146,515	8,991	2,033	0,752	0,000	0,000
770244,171	8,835	1,875	0,142	0,000	0,000
770341,827	8,953	2,033	0,671	0,000	0,000
770439,484	8,581	1,920	0,622	0,000	0,000
770537,140	8,804	1,919	0,744	0,000	0,000
770634,796	8,803	1,765	0,736	0,000	0,000
770732,452	8,655	1,881	0,621	0,000	0,000
770830,109	8,949	1,915	0,425	0,000	0,000
770927,765	8,987	1,915	0,466	0,000	0,000
771025,421	8,615	1,689	0,571	0,000	0,000
771123,077	8,804	1,957	0,706	0,000	0,000
771220,734	8,839	1,878	0,502	0,000	0,000
771318,390	8,988	2,145	0,397	0,000	0,000
771416,046	8,800	1,800	0,378	0,000	0,000
771513,702	8,914	1,917	0,625	0,000	0,000
