chodzenie
{
-10,086	-0,75	-0,458
-10,382	-0,556	-0,572
-10,087	-0,522	-0,727
-10,008	-0,67	-0,094
-10,086	-0,978	-0,19
-9,9	-1,246	0,119
-10,043	-1,049	0,447
-10,304	-1,239	0,435
-10,68	-1,43	0,142
-11,383	-5,229	0,305
-10,039	-1,085	4,565
-9,509	-2,181	3,116
-8,434	-1,201	2,216
-8,978	-0,993	-0,539
-10	-0,853	0,817
-15,125	0,441	-1,809
-12,041	-0,305	3,584
-8,407	-0,906	0,991
-6,669	-0,05	-0,149
-8,158	-2,288	-2,356
-14,176	-7,006	-3,212
-10,29	-3,091	3,703
-11,076	-0,463	0,306
-7,449	-1,187	0,746
-7,12	-0,319	-0,527
-9,467	-2,518	0,259
-14,156	2,759	0,156
-12,615	-1,535	-0,683
-6,908	-0,75	-1,147
-6,127	-0,793	-0,821
-9,791	1,072	1,276
-14,081	-1,732	-2,627
-11,777	0,764	3,04
-11,465	-4,324	2,269
-6,862	0,173	-1,14
-10,576	-1,287	-0,77
-12,882	-3,406	0,381
-12,493	-3,277	2,151
-7,619	1,114	-0,06
-5,037	-0,255	0,217
-10,612	-0,79	-1,146
-14,069	-4,118	-2,747
-10,812	-0,425	4,391
-9,689	-3,963	1,705
-6,876	-0,071	1,408
-7,328	-0,339	-2,81
-13,843	5,211	-4,278
-10,342	-0,631	3,465
-11,341	-1,495	0,732
-7	0,031	-0,028
-6,544	-1,179	-1,364
-11,243	-1,775	-0,321
-11,205	-2,193	0,218
-12,167	-0,547	2,331
-10,91	-3,454	1,358
-7,077	-0,124	-0,197
-9,121	-1,86	-2,824
-12,591	0,585	-4,097
-12,574	-3,283	1,43
-10,313	0,046	1,939
-7,999	-0,529	0,654
-8,916	-0,966	-1,697
-9,253	-2,833	-0,274
-10,624	-3,125	-0,022
-13,52	1,997	1,565
-8,81	-1,393	1,842
-9,516	-0,551	0,757
-9,684	-1,559	-0,175
-10,632	0,102	3,379
-8,709	-2,052	1,49
-9,898	-1,624	0,74
-10,187	-1,272	1,115
-10,266	-1,314	0,632
-10,116	-1,314	0,833
-10,076	-0,778	0,62
-10,153	-0,97	0,53
-10,339	-1,16	0,559
-9,82	-1,355	0,794
-10,149	-0,891	0,774
}

obrot
{
-10,151	-1,121	0,802
-10,257	-0,848	1,055
-10,076	-1,083	0,845
-10,259	-1,041	1,045
-10,227	-0,97	0,449
-9,424	0	2,066
-10,863	0,133	2,418
-11,544	-2,958	0,377
-10,253	-0,311	0,922
-10,777	1,782	2,021
-10,064	1,745	2,947
-9,088	-0,04	2,307
-11,457	-2,375	1,087
-10,518	-4,426	0,754
-10,527	-1,808	0,964
-9,27	-2,394	1,348
-9,036	-1,204	1,289
-10,407	-3,438	3,484
-9,208	-0,656	2,075
-10,641	0,016	2,534
-10,986	-0,106	1,485
-9,795	-1,748	0,055
-10,176	-0,347	1,281
-9,913	-0,118	1,375
-10,419	-1,508	0,34
-10,006	-1,201	0,64
}

chodzenie
{
-10,222	-0,775	0,779
-9,785	-1,472	0,709
-9,932	-1,241	0,599
-10,053	-1,744	0,132
-10,157	-1,584	0,659
-10,08	-1,353	0,752
-9,532	-0,11	2,499
-10,29	-0,082	0,733
-10,689	0,235	1,225
-10,669	-0,734	0,497
-10,388	-0,752	-0,981
-12,751	3,199	-0,528
-10,809	-1,45	5,739
-10,455	-2,421	1,334
-8,518	-0,753	0,757
-8,614	-1,23	-0,868
-10,717	-1,696	0,408
-10,932	-5,534	4,934
-12,492	0,341	2,332
-7,732	-1,552	2,445
-8,198	-0,845	-0,404
-8,667	-1,057	0,98
-11,839	0,739	0,559
-13,198	-2,09	0,844
-7,766	0,164	0,971
-6,159	-1,016	-0,112
-11,061	0,161	1,177
-14,315	-1,286	-0,567
-11,626	1,184	2,903
-9,217	-4,167	1,019
-6,786	-0,36	-0,446
-9,334	-0,135	-3,62
-13,152	1,46	-5,579
-12,223	-2,507	2,432
-10,94	-1,201	-0,249
-6,474	-0,081	0,851
-7,117	-2,485	-1,795
-13,665	-5,915	-1,312
-10,654	-3,575	4,875
-12,708	-1,744	1,346
-7,431	-1,664	-0,717
-6,305	-0,098	-0,748
-8,967	-1,324	0,924
-14,411	-0,813	0,415
-13,007	-1,668	0,987
-9,636	-1,701	1,059
-7,339	-0,961	0,439
-10,204	-0,032	-1,864
-8,963	-3,566	-0,188
-11,069	-3,122	3,653
-11,046	-0,7	3,535
-10,728	0,538	0,72
-8,601	-1,028	0,143
-9,756	-1,365	-0,126
-11,42	-1,27	0,022
-10,266	-1,352	0,67
-10,702	-0,731	0,856
-9,937	-1,359	0,273
-9,965	-1,35	1,193
-10,044	-1,278	0,596
-10,044	-1,126	0,443
-10,111	-0,89	0,854
-10,116	-1,009	0,528
}

obrot
{
-10,116	-0,971	0,49
-10,38	-1,468	0,503
-10,339	-1,045	0,524
-10,112	-0,815	0,738
-10,117	-1,315	0,713
-9,93	-1,733	1,374
-10,293	-2,368	-0,981
-9,097	-2,561	0,221
-12,4	-2,459	3,193
-11,407	-0,838	0,924
-9,441	-0,969	1,337
-10,554	-0,084	0,25
-11,503	1,31	0,27
-9,328	-1,425	1,995
-9,32	-1,303	2,642
-10,006	-2,687	2,086
-9,608	-2,51	0,938
-9,12	-1,937	1,052
-9,973	-1,701	0,735
-10,003	-1,427	1,109
-10,304	-1,543	0,82
-10,42	-1,661	0,373
-10,37	-0,696	0,781
-10,249	0,15	0,865
-9,674	-0,978	0,254
}

chodzenie
{
-9,785	-1,128	0,446
-10,374	-0,814	0,496
-10,15	-0,587	0,389
-10,226	-0,664	0,265
-10,301	-0,969	0,489
-9,784	-1,166	0,564
-9,819	-0,973	0,573
-11,03	-3,005	0,019
-10,098	-2,97	0,591
-8,912	-2,943	0,644
-10,102	-0,993	-1,751
-10,394	-6,278	0,222
-9,38	-0,641	3,394
-11,771	-1,4	2,052
-9,439	-0,739	1,269
-7,183	-0,688	0,934
-12,103	-1,279	-1,585
-17,014	1,297	-2,745
-10,106	-0,163	4,371
-10,643	-1,316	0,028
-6,704	-0,391	0,313
-7,548	-1,896	-1,01
-13,295	-5,919	-1,349
-9,198	-3,16	5,59
-11,495	-1,423	0,094
-8,321	-0,285	-2,177
